"Table 233.70. Percentage of public schools with security staff present at least once a week, and percentage with security staff routinely carrying a firearm, by selected 
              school characteristics: 2005–06 through 2017-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Standard errors appear in parentheses],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School characteristic,Percent with one or more security staff\1\,,,,,,,,,,,,,,,,,,Percent with any security staff routinely carrying a firearm\2\,,,,,,,,,Percent with sworn law enforcement officers routinely carrying a firearm\2\,,,,,,,,,,,
  0 to 25 percent .........................................,34.9, ,(1.53),40.7, ,(1.55),35.0, ,(1.98),---,,(†),51.1, ,(2.36),58.3, ,(2.34),27.6, ,(1.33),34.3, ,(1.54),25.9, ,(1.56),45.6, ,(2.31),52.5, ,(2.06),,,,,,
  26 to 50 percent ............................................,42.4, ,(2.64),44.9, ,(3.16),42.8, ,(2.21),---,,(†),51.6, ,(2.83),59.2, ,(2.81),36.7, ,(2.29),38.2, ,(3.01),32.1, ,(2.25),43.3, ,(3.04),47.4, ,(2.81),,,,,,
  51 to 75 percent .........................................,47.5, ,(4.20),44.8, ,(4.35),49.5, ,(3.17),---,,(†),62.9, ,(3.61),61.5, ,(4.04),34.3, ,(3.12),31.7, ,(3.07),33.4, ,(2.97),47.3, ,(3.29),48.1, ,(3.87),,,,,,
  76 to 100 percent ..........................................,53.9, ,(3.12),62.3, ,(3.14),54.5, ,(2.89),---,,(†),64.5, ,(2.88),67.4, ,(2.36),28.5, ,(2.53),31.6, ,(2.56),26.1, ,(2.00),35.8, ,(2.79),37.4, ,(2.05),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Percent of students eligible for 
   free or reduced-price lunch\6\",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  0 to 25 percent .........................................,37.9,,(2.14),46.5,,(2.33),39.2,,(2.44),41.6,,(3.81),52.9,,(3.77),53.6, ,(2.69),30.3,,(1.95),34.8,,(2.12),27.2,,(1.93),42.5,,(3.25),44.1, ,(2.78),,,,,,
  26 to 50 percent ............................................,42.1,,(2.08),40.8,,(2.52),40.0,,(1.68),39.6,,(3.10),50.8,,(2.89),64.7, ,(2.69),33.8,,(1.78),35.2,,(2.02),30.3,,(1.59),41.3,,(2.61),55.4, ,(2.95),,,,,,
  51 to 75 percent .........................................,39.3,,(2.21),46.1,,(2.83),42.3,,(2.60),44.4,,(2.71),58.7,,(2.47),61.6, ,(2.96),31.8,,(2.05),35.8,,(2.77),27.4,,(2.07),49.0,,(2.76),51.3, ,(2.89),,,,,,
  76 to 100 percent ..........................................,49.8,,(2.73),55.0,,(3.68),49.8,,(2.76),45.8,,(3.24),62.2,,(2.62),63.4, ,(2.01),25.6,,(2.17),29.7,,(2.68),26.8,,(2.32),38.9,,(3.04),38.2, ,(1.79),,,,,,
---Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
†Not applicable. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\1\Security staff include security guards, security personnel, School Resource Officers (SROs), and sworn law enforcement officers who are not SROs. ""Security guards"" and ""security personnel"" do not include law enforcement. SROs include all career law enforcement officers with arrest authority who have specialized training and are assigned to work in collaboration with school organizations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\2\Prior to 2015-16, the School Survey on Crime and Safety (SSOCS) questionnaire asked respondents whether any of the security guards, security personnel, or sworn law enforcement officers at their school routinely carried a firearm. In 2015-16 and 2017-18, the SSOCS questionnaire asked respondents only whether any of the sworn law enforcement officers (including SROs) at their school routinely carried a firearm; therefore, direct comparisons with earlier years should be avoided. Data on security staff routinely carrying a firearm were not collected in the 2013-14 Fast Response Survey System (FRSS).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\3\Data for 2013-14 were collected using the Fast Response Survey System (FRSS), while data for all other years were collected using the School Survey on Crime and Safety (SSOCS). The 2013-14 FRSS survey was designed to allow comparisons with SSOCS data. However, all respondents to the 2013-14 survey could choose either to complete the survey on paper (and mail it back) or to complete the survey online, whereas all respondents to SSOCS had only the option of completing a paper survey prior to 2017-18, when SSOCS experimented with offering an online option to some respondents. The 2013-14 FRSS survey also relied on a smaller sample than SSOCS. The FRSS survey's smaller sample size and difference in survey administration may have impacted the 2013-14 results. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\4\Primary schools are defined as schools in which the lowest grade is not higher than grade 3 and the highest grade is not higher than grade 8. Middle schools are defined as schools in which the lowest grade is not lower than grade 4 and the highest grade is not higher than grade 9. High schools are defined as schools in which the lowest grade is not lower than grade 9. Combined schools include all other combinations of grades, including K–12 schools. Separate data on high schools and combined schools are not available for 2013–14.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\5\Percent combined enrollment of Black, Hispanic, Asian, Pacific Islander, and American Indian/Alaska Native students, and students of Two or more races.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\6\Because the 2013-14 survey did not collect data on the percentage of students eligible for free or reduced-price lunch, the classification of schools by the percentage of eligible students was computed based on data obtained from the Common Core of Data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Responses were provided by the principal or the person most knowledgeable about crime and safety issues at the school.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, 2005–06, 2007–08, 2009–10, 2015-16, and 2017-18 School Survey on Crime and Safety (SSOCS), 2006, 2008, 2010, 2016, and 2018; Fast Response Survey System (FRSS), ""School Safety and Discipline: 2013-14,"" FRSS 106, 2014; and Common Core of Data (CCD), ""Public Elementary/Secondary School Universe Survey,"" 2013-14. (This table was prepared August 2019.) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
